elem_id,vx,vy,vz
1,1,0,0
21,1,0,0
41,1,0,0
61,1,0,0
81,1,0,0
101,1,0,0
121,1,0,0
141,1,0,0
161,1,0,0
181,1,0,0
201,1,0,0
221,1,0,0
241,1,0,0
261,1,0,0
281,1,0,0
301,1,0,0
321,1,0,0
341,1,0,0
361,1,0,0
381,1,0,0
401,1,0,0
421,1,0,0
441,1,0,0
461,1,0,0
481,1,0,0
501,1,0,0
521,1,0,0
541,1,0,0
561,1,0,0
581,1,0,0
601,1,0,0
621,1,0,0
641,1,0,0
661,1,0,0
681,1,0,0
701,1,0,0
721,1,0,0
741,1,0,0
761,1,0,0
781,1,0,0
801,1,0,0
821,1,0,0
841,1,0,0
861,1,0,0
881,1,0,0
901,1,0,0
921,1,0,0
941,1,0,0
961,1,0,0
981,1,0,0
1001,1,0,0
1021,1,0,0
1041,1,0,0
1061,1,0,0
1081,1,0,0
1101,1,0,0
1121,1,0,0
1141,1,0,0
1161,1,0,0
1181,1,0,0
1201,1,0,0
1221,1,0,0
1241,1,0,0
1261,1,0,0
1281,1,0,0
1301,1,0,0
1321,1,0,0
1341,1,0,0
1361,1,0,0
1381,1,0,0
1401,1,0,0
1421,1,0,0
1441,1,0,0
1461,1,0,0
1481,1,0,0
1501,1,0,0
1521,1,0,0
1541,1,0,0
1561,1,0,0
1581,1,0,0
1601,1,0,0
1621,1,0,0
1641,1,0,0
1661,1,0,0
1681,1,0,0
1701,1,0,0
1721,1,0,0
1741,1,0,0
1761,1,0,0
1781,1,0,0
1801,1,0,0
1821,1,0,0
1841,1,0,0
1861,1,0,0
1881,1,0,0
1901,1,0,0
1921,1,0,0
1941,1,0,0
1961,1,0,0
1981,1,0,0
2001,1,0,0
2021,1,0,0
2041,1,0,0
2061,1,0,0
2081,1,0,0
2101,1,0,0
2121,1,0,0
2141,1,0,0
2161,1,0,0
2181,1,0,0
2201,1,0,0
2221,1,0,0
2241,1,0,0
2261,1,0,0
2281,1,0,0
2301,1,0,0
2321,1,0,0
2341,1,0,0
2361,1,0,0
2381,1,0,0
2401,1,0,0
2421,1,0,0
2441,1,0,0
2461,1,0,0
2481,1,0,0
2501,1,0,0
2521,1,0,0
2541,1,0,0
2561,1,0,0
2581,1,0,0
2601,1,0,0
2621,1,0,0
2641,1,0,0
2661,1,0,0
2681,1,0,0
2701,1,0,0
2721,1,0,0
2741,1,0,0
2761,1,0,0
2781,1,0,0
2801,1,0,0
2821,1,0,0
2841,1,0,0
2861,1,0,0
2881,1,0,0
2901,1,0,0
2921,1,0,0
2941,1,0,0
2961,1,0,0
2981,1,0,0
3001,1,0,0
3021,1,0,0
3041,1,0,0
3061,1,0,0
3081,1,0,0
3101,1,0,0
3121,1,0,0
3141,1,0,0
3161,1,0,0
3181,1,0,0
3201,1,0,0
3221,1,0,0
3241,1,0,0
3261,1,0,0
3281,1,0,0
3301,1,0,0
3321,1,0,0
3341,1,0,0
3361,1,0,0
3381,1,0,0
3401,1,0,0
3421,1,0,0
3441,1,0,0
3461,1,0,0
3481,1,0,0
3501,1,0,0
3521,1,0,0
3541,1,0,0
3561,1,0,0
3581,1,0,0
3601,1,0,0
3621,1,0,0
3641,1,0,0
3661,1,0,0
3681,1,0,0
3701,1,0,0
3721,1,0,0
3741,1,0,0
3761,1,0,0
3781,1,0,0
3801,1,0,0
3821,1,0,0
3841,1,0,0
3861,1,0,0
3881,1,0,0
3901,1,0,0
3921,1,0,0
3941,1,0,0
3961,1,0,0
3981,1,0,0
4001,1,0,0
4021,1,0,0
4041,1,0,0
4061,1,0,0
4081,1,0,0
4101,1,0,0
4121,1,0,0
4141,1,0,0
4161,1,0,0
4181,1,0,0
4201,1,0,0
4221,1,0,0
4241,1,0,0
4261,1,0,0
4281,1,0,0
4301,1,0,0
4321,1,0,0
4341,1,0,0
4361,1,0,0
4381,1,0,0
4401,1,0,0
4421,1,0,0
4441,1,0,0
4461,1,0,0
4481,1,0,0
4501,1,0,0
4521,1,0,0
4541,1,0,0
4561,1,0,0
4581,1,0,0
4601,1,0,0
4621,1,0,0
4641,1,0,0
4661,1,0,0
4681,1,0,0
4701,1,0,0
4721,1,0,0
4741,1,0,0
4761,1,0,0
4781,1,0,0
4801,1,0,0
4821,1,0,0
4841,1,0,0
4861,1,0,0
4881,1,0,0
4901,1,0,0
4921,1,0,0
4941,1,0,0
4961,1,0,0
4981,1,0,0
5001,1,0,0
5021,1,0,0
5041,1,0,0
5061,1,0,0
5081,1,0,0
5101,1,0,0
5121,1,0,0
5141,1,0,0
5161,1,0,0
5181,1,0,0
5201,1,0,0
5221,1,0,0
5241,1,0,0
5261,1,0,0
5281,1,0,0
5301,1,0,0
5321,1,0,0
5341,1,0,0
5361,1,0,0
5381,1,0,0
