id,value
14413, 1.793E+03
14441, 1.526E+03
14457, 1.198E+03
14490, 1.717E+03
14653, 1.023E+03
14670, 1.180E+03
14848, 1.308E+03
14868, 1.388E+03
14906, 1.341E+03
14959, 1.451E+03
16900, 2.553E+02
16908, 2.622E+02
16916, 8.335E+02
16928, 9.291E+02
16949, 5.668E+02
16953, 9.803E+02
16960, 8.717E+02
16970, 1.018E+03
16982, 3.585E+01
17089, 8.147E+01
17127, 1.201E+03
17130, 1.206E+03
17160, 1.469E+03
17254, 2.168E+02
17258, 5.708E+01
17279, 3.452E+02
17324, 1.276E+03
17661, 1.825E+03
17829, 9.442E+02
17833, 1.069E+03
17844, 1.144E+03
17860, 1.273E+03
14858, 1.313E+03
14975, 1.277E+03
14986, 1.313E+03
15005, 1.411E+03
15042, 1.439E+03
15130, 1.130E+03
15190, 1.473E+03
15354, 1.568E+03
15364, 1.680E+03
15381, 1.229E+03
15421, 1.729E+03
15428, 1.749E+03
15443, 1.408E+03
15466, 1.565E+03
15475, 1.597E+03
15518, 1.755E+03
15525, 1.450E+03
15548, 1.723E+03
15617, 1.164E+03
15638, 1.299E+03
15824, 1.842E+03
15848, 1.703E+03
15891, 1.741E+03
17922, 1.147E+03
3, 6.635E+02
15, 1.221E+03
35, 2.005E+03
2869, 1.458E+03
2878, 1.357E+03
14637, 1.218E+03
15565, 1.456E+03
15586, 1.744E+03
15665, 1.673E+03
15759, 2.045E+03
15794, 1.633E+03
15818, 1.515E+03
15859, 2.452E+03
15860, 1.959E+03
15892, 2.811E+03
15908, 2.059E+03
15911, 1.783E+03
15924, 1.647E+03
15945, 3.213E+03
15986, 1.712E+03
16006, 3.599E+03
16051, 1.329E+03
16195, 2.416E+03
16343, 1.997E+03
16378, 1.769E+03
17172, 1.793E+03
17422, 3.794E+03
17470, 2.711E+03
17948, 1.327E+03
17957, 1.426E+03
17988, 1.494E+03
17999, 2.093E+03
18009, 1.800E+03
17747, 2.152E+03
19493, 3.179E+03
19856, 2.353E+03
16054, 1.600E+03
16158, 1.537E+03
16218, 1.519E+03
16222, 1.537E+03
16355, 1.550E+03
16390, 1.450E+03
16404, 1.576E+03
16433, 1.722E+03
16473, 1.640E+03
16513, 1.508E+03
16533, 1.510E+03
16541, 1.529E+03
16589, 1.417E+03
16610, 1.334E+03
16620, 1.746E+03
16631, 1.772E+03
16649, 1.493E+03
16699, 1.331E+03
18036, 1.437E+03
18055, 1.439E+03
19587, 1.475E+03
19606, 1.456E+03
19612, 1.272E+03
19657, 1.277E+03
19733, 1.451E+03
19738, 1.763E+03
19791, 1.133E+03
19881, 1.240E+03
19907, 1.150E+03
19919, 1.133E+03
19923, 1.096E+03
19932, 1.130E+03
19937, 1.210E+03
19970, 1.112E+03
19972, 1.415E+03
19983, 1.187E+03
20003, 1.246E+03
20013, 1.305E+03
20020, 1.107E+03
20036, 1.035E+03
20042, 1.097E+03
20621, 1.088E+03
14415, 1.373E+03
14416, 1.730E+03
14419, 1.733E+03
14422, 1.744E+03
14423, 1.751E+03
14426, 1.755E+03
14427, 1.274E+03
14430, 1.270E+03
14432, 1.755E+03
14434, 1.758E+03
14412, 1.454E+03
14418, 1.280E+03
14421, 1.269E+03
14424, 1.275E+03
14429, 1.756E+03
14433, 1.265E+03
14436, 1.257E+03
14438, 1.255E+03
17008, 9.256E+02
17019, 9.185E+02
17284, 9.424E+02
14382, 4.236E+01
14383, 3.537E+01
14384, 5.649E+01
14385, 2.807E+01
14386, 1.124E+02
14387, 2.739E+01
14388, 1.886E+02
14389, 2.530E+01
14390, 2.786E+02
14391, 2.446E+01
14392, 3.704E+02
14393, 4.613E+02
14394, 2.684E+01
14395, 5.572E+02
14396, 2.888E+01
14397, 6.448E+02
14399, 7.234E+02
14401, 8.364E+02
14402, 9.845E+02
14404, 1.120E+03
16974, 8.147E+01
16975, 8.885E+01
16976, 6.989E+01
16977, 9.077E+01
16978, 5.642E+01
16979, 1.579E+02
16980, 4.383E+01
16981, 2.385E+02
16983, 3.361E+02
16984, 3.635E+01
16985, 4.249E+02
16986, 3.828E+01
16987, 5.042E+02
16988, 5.185E+01
16989, 5.615E+02
16990, 6.425E+01
16991, 5.952E+02
17248, 1.089E+02
17249, 1.217E+02
17250, 9.177E+01
17251, 1.255E+02
17252, 7.356E+01
17253, 1.671E+02
17255, 5.932E+01
17259, 3.641E+02
17260, 4.442E+02
17261, 6.601E+01
17262, 5.054E+02
17264, 5.363E+02
17266, 5.414E+02
16902, 1.441E+02
16903, 1.138E+02
16904, 1.095E+02
16905, 1.335E+02
16906, 1.741E+02
16907, 2.122E+02
16909, 2.648E+02
16910, 3.018E+02
16911, 3.268E+02
16912, 3.317E+02
16913, 3.503E+02
16914, 5.022E+02
16915, 7.205E+02
16917, 7.784E+02
16918, 9.045E+02
16919, 8.569E+02
16920, 9.956E+02
16921, 9.155E+02
16922, 8.673E+02
16924, 8.783E+02
16925, 8.688E+02
16926, 9.673E+02
16929, 8.373E+02
16930, 8.164E+02
16931, 7.986E+02
16935, 6.881E+02
16936, 5.473E+02
16939, 5.233E+02
16940, 4.464E+02
16942, 6.367E+02
16945, 4.719E+02
16993, 6.311E+02
16994, 6.870E+02
16996, 7.573E+02
17081, 1.501E+02
17082, 1.767E+02
17083, 1.217E+02
17084, 1.971E+02
17085, 9.648E+01
17086, 2.354E+02
17087, 7.811E+01
17088, 2.709E+02
17090, 3.099E+02
17091, 8.480E+01
17092, 3.695E+02
17093, 1.041E+02
17094, 4.365E+02
17095, 1.260E+02
17096, 5.344E+02
17097, 6.874E+02
17099, 8.034E+02
17101, 8.927E+02
17102, 9.736E+02
17256, 2.781E+02
17257, 5.294E+01
17268, 5.387E+02
17269, 5.818E+02
17271, 6.512E+02
14405, 1.237E+03
14407, 1.330E+03
14409, 1.393E+03
14410, 1.429E+03
14655, 9.656E+02
14658, 9.064E+02
14667, 8.319E+02
14673, 8.227E+02
14681, 8.358E+02
14689, 8.702E+02
16923, 9.681E+02
16927, 1.032E+03
16932, 9.401E+02
16933, 7.722E+02
16934, 8.689E+02
16937, 6.888E+02
16938, 8.030E+02
16943, 7.496E+02
16944, 6.098E+02
16951, 6.011E+02
16952, 7.187E+02
16957, 6.413E+02
16958, 7.210E+02
16963, 7.604E+02
16997, 8.198E+02
16999, 8.719E+02
17001, 9.051E+02
17002, 9.180E+02
17004, 9.249E+02
17006, 9.340E+02
17104, 1.039E+03
17106, 1.082E+03
17108, 1.102E+03
17109, 1.128E+03
17272, 7.102E+02
17274, 7.581E+02
17276, 8.020E+02
17278, 8.330E+02
17280, 8.736E+02
17282, 9.078E+02
17836, 9.590E+02
17838, 9.290E+02
17010, 9.300E+02
17011, 9.265E+02
17013, 9.265E+02
17015, 9.248E+02
17017, 9.215E+02
17021, 9.114E+02
17023, 9.109E+02
17122, 1.322E+03
17285, 9.780E+02
17287, 1.010E+03
17289, 1.037E+03
17291, 1.060E+03
17293, 1.080E+03
17295, 1.093E+03
17296, 1.104E+03
17124, 1.336E+03
17126, 1.345E+03
17128, 1.350E+03
14652, 1.064E+03
14654, 1.105E+03
14656, 1.036E+03
14657, 1.130E+03
14659, 9.897E+02
14660, 1.069E+03
14661, 1.164E+03
14662, 8.594E+02
14663, 9.467E+02
14664, 1.024E+03
14665, 1.112E+03
14666, 1.203E+03
14668, 9.155E+02
14669, 9.940E+02
14671, 1.066E+03
14672, 1.249E+03
14674, 1.144E+03
14676, 9.781E+02
14677, 1.204E+03
14678, 1.042E+03
14679, 1.277E+03
14680, 1.108E+03
14682, 1.177E+03
14685, 1.237E+03
14686, 1.036E+03
14687, 1.304E+03
14688, 1.086E+03
14690, 1.148E+03
14692, 1.208E+03
14694, 1.267E+03
14696, 1.083E+03
14699, 1.130E+03
14701, 1.185E+03
14703, 1.239E+03
14708, 1.125E+03
14713, 1.169E+03
14715, 1.217E+03
14718, 1.267E+03
14724, 1.160E+03
14727, 1.203E+03
14731, 1.247E+03
14742, 1.197E+03
14745, 1.234E+03
14754, 1.195E+03
14770, 1.199E+03
14785, 1.208E+03
14789, 1.232E+03
14798, 1.222E+03
14802, 1.240E+03
14812, 1.235E+03
14817, 1.252E+03
17111, 1.158E+03
17113, 1.192E+03
17115, 1.221E+03
17117, 1.252E+03
17119, 1.280E+03
17121, 1.303E+03
17822, 1.015E+03
17823, 1.056E+03
17824, 1.040E+03
17825, 9.856E+02
17826, 9.056E+02
17827, 9.679E+02
17828, 9.073E+02
17830, 1.068E+03
17831, 1.126E+03
17832, 1.031E+03
17834, 1.082E+03
17835, 1.093E+03
17837, 1.025E+03
17839, 9.922E+02
17840, 1.180E+03
17841, 1.162E+03
17842, 1.166E+03
17843, 1.135E+03
17845, 1.121E+03
17846, 1.102E+03
17847, 1.092E+03
17849, 1.203E+03
17850, 1.187E+03
17851, 1.157E+03
17852, 1.191E+03
17853, 1.116E+03
17854, 1.134E+03
17855, 1.151E+03
17856, 1.170E+03
14697, 1.328E+03
14706, 1.293E+03
14710, 1.347E+03
14720, 1.315E+03
14723, 1.362E+03
14733, 1.291E+03
14737, 1.332E+03
14740, 1.372E+03
14748, 1.273E+03
14753, 1.310E+03
14756, 1.344E+03
14762, 1.228E+03
14766, 1.262E+03
14768, 1.295E+03
14771, 1.325E+03
14776, 1.227E+03
14780, 1.257E+03
14784, 1.286E+03
14787, 1.313E+03
14790, 1.336E+03
14796, 1.258E+03
14799, 1.283E+03
14801, 1.307E+03
14806, 1.327E+03
14808, 1.262E+03
14814, 1.285E+03
14816, 1.306E+03
14819, 1.324E+03
14822, 1.270E+03
14829, 1.290E+03
14831, 1.265E+03
14832, 1.309E+03
14836, 1.280E+03
14841, 1.298E+03
14847, 1.315E+03
14856, 1.307E+03
14863, 1.323E+03
14866, 1.337E+03
14879, 1.332E+03
14882, 1.345E+03
14898, 1.354E+03
14437, 1.824E+03
14440, 1.861E+03
14442, 1.178E+03
14443, 1.488E+03
14444, 1.834E+03
14446, 1.821E+03
14447, 1.142E+03
14448, 1.490E+03
14450, 1.814E+03
14452, 1.121E+03
14454, 1.811E+03
