id,value,sim
1348, 9.812E+01,Mode#7,Frequency=   1.269e+02Hz
7716, 6.927E+01,Mode#7,Frequency=   1.269e+02Hz
7717, 7.295E+01,Mode#7,Frequency=   1.269e+02Hz
7718, 8.355E+01,Mode#7,Frequency=   1.269e+02Hz
7719, 9.447E+01,Mode#7,Frequency=   1.269e+02Hz
7952, 7.061E+01,Mode#7,Frequency=   1.269e+02Hz
7953, 6.868E+01,Mode#7,Frequency=   1.269e+02Hz
7954, 7.410E+01,Mode#7,Frequency=   1.269e+02Hz
7955, 8.204E+01,Mode#7,Frequency=   1.269e+02Hz
7956, 8.690E+01,Mode#7,Frequency=   1.269e+02Hz
7957, 8.904E+01,Mode#7,Frequency=   1.269e+02Hz
7958, 8.897E+01,Mode#7,Frequency=   1.269e+02Hz
5828, 8.902E+01,Mode#7,Frequency=   1.269e+02Hz
5829, 8.283E+01,Mode#7,Frequency=   1.269e+02Hz
5830, 8.433E+01,Mode#7,Frequency=   1.269e+02Hz
5831, 9.153E+01,Mode#7,Frequency=   1.269e+02Hz
5832, 9.744E+01,Mode#7,Frequency=   1.269e+02Hz
5835, 9.859E+01,Mode#7,Frequency=   1.269e+02Hz
6299, 7.049E+01,Mode#7,Frequency=   1.269e+02Hz
6300, 8.168E+01,Mode#7,Frequency=   1.269e+02Hz
6301, 9.672E+01,Mode#7,Frequency=   1.269e+02Hz
10538, 8.384E+01,Mode#7,Frequency=   1.269e+02Hz
4166, 8.473E+01,Mode#7,Frequency=   1.269e+02Hz
7935, 8.153E+01,Mode#7,Frequency=   1.269e+02Hz
7936, 9.188E+01,Mode#7,Frequency=   1.269e+02Hz
7941, 9.730E+01,Mode#7,Frequency=   1.269e+02Hz
7942, 9.725E+01,Mode#7,Frequency=   1.269e+02Hz
7949, 9.198E+01,Mode#7,Frequency=   1.269e+02Hz
7950, 8.449E+01,Mode#7,Frequency=   1.269e+02Hz
7951, 7.672E+01,Mode#7,Frequency=   1.269e+02Hz
9476, 9.324E+01,Mode#7,Frequency=   1.269e+02Hz
9480, 7.017E+01,Mode#7,Frequency=   1.269e+02Hz
9481, 5.132E+01,Mode#7,Frequency=   1.269e+02Hz
9482, 6.392E+01,Mode#7,Frequency=   1.269e+02Hz
9483, 8.181E+01,Mode#7,Frequency=   1.269e+02Hz
9484, 9.832E+01,Mode#7,Frequency=   1.269e+02Hz
10891, 9.364E+01,Mode#7,Frequency=   1.269e+02Hz
10892, 9.908E+01,Mode#7,Frequency=   1.269e+02Hz
13960, 8.825E+01,Mode#7,Frequency=   1.269e+02Hz
7699, 5.832E+01,Mode#7,Frequency=   1.269e+02Hz
7700, 6.303E+01,Mode#7,Frequency=   1.269e+02Hz
7701, 9.632E+01,Mode#7,Frequency=   1.269e+02Hz
7711, 9.318E+01,Mode#7,Frequency=   1.269e+02Hz
7712, 8.503E+01,Mode#7,Frequency=   1.269e+02Hz
7713, 8.006E+01,Mode#7,Frequency=   1.269e+02Hz
7714, 7.513E+01,Mode#7,Frequency=   1.269e+02Hz
7715, 7.079E+01,Mode#7,Frequency=   1.269e+02Hz
8997, 9.623E+01,Mode#7,Frequency=   1.269e+02Hz
9007, 9.802E+01,Mode#7,Frequency=   1.269e+02Hz
9008, 4.007E+01,Mode#7,Frequency=   1.269e+02Hz
9009, 3.714E+01,Mode#7,Frequency=   1.269e+02Hz
9010, 5.685E+01,Mode#7,Frequency=   1.269e+02Hz
9011, 7.330E+01,Mode#7,Frequency=   1.269e+02Hz
9012, 8.738E+01,Mode#7,Frequency=   1.269e+02Hz
14667, 9.263E+01,Mode#7,Frequency=   1.269e+02Hz
14668, 9.966E+01,Mode#7,Frequency=   1.269e+02Hz
7918, 7.370E+01,Mode#7,Frequency=   1.269e+02Hz
7919, 7.968E+01,Mode#7,Frequency=   1.269e+02Hz
7920, 8.449E+01,Mode#7,Frequency=   1.269e+02Hz
7921, 8.803E+01,Mode#7,Frequency=   1.269e+02Hz
7922, 9.046E+01,Mode#7,Frequency=   1.269e+02Hz
7923, 9.200E+01,Mode#7,Frequency=   1.269e+02Hz
7924, 9.290E+01,Mode#7,Frequency=   1.269e+02Hz
7925, 9.337E+01,Mode#7,Frequency=   1.269e+02Hz
7926, 9.356E+01,Mode#7,Frequency=   1.269e+02Hz
7927, 9.354E+01,Mode#7,Frequency=   1.269e+02Hz
7928, 9.332E+01,Mode#7,Frequency=   1.269e+02Hz
7929, 9.284E+01,Mode#7,Frequency=   1.269e+02Hz
7930, 9.200E+01,Mode#7,Frequency=   1.269e+02Hz
7931, 9.061E+01,Mode#7,Frequency=   1.269e+02Hz
7932, 8.840E+01,Mode#7,Frequency=   1.269e+02Hz
7933, 8.537E+01,Mode#7,Frequency=   1.269e+02Hz
7934, 8.206E+01,Mode#7,Frequency=   1.269e+02Hz
9456, 9.991E+01,Mode#7,Frequency=   1.269e+02Hz
9457, 9.837E+01,Mode#7,Frequency=   1.269e+02Hz
9458, 9.744E+01,Mode#7,Frequency=   1.269e+02Hz
9459, 9.694E+01,Mode#7,Frequency=   1.269e+02Hz
9460, 9.674E+01,Mode#7,Frequency=   1.269e+02Hz
9461, 9.675E+01,Mode#7,Frequency=   1.269e+02Hz
9462, 9.692E+01,Mode#7,Frequency=   1.269e+02Hz
9463, 9.737E+01,Mode#7,Frequency=   1.269e+02Hz
9464, 9.818E+01,Mode#7,Frequency=   1.269e+02Hz
9465, 9.964E+01,Mode#7,Frequency=   1.269e+02Hz
7682, 5.191E+01,Mode#7,Frequency=   1.269e+02Hz
7683, 5.762E+01,Mode#7,Frequency=   1.269e+02Hz
7684, 6.208E+01,Mode#7,Frequency=   1.269e+02Hz
7685, 6.531E+01,Mode#7,Frequency=   1.269e+02Hz
7686, 6.745E+01,Mode#7,Frequency=   1.269e+02Hz
7687, 6.884E+01,Mode#7,Frequency=   1.269e+02Hz
7688, 6.963E+01,Mode#7,Frequency=   1.269e+02Hz
7689, 7.006E+01,Mode#7,Frequency=   1.269e+02Hz
